,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,State_ACC,State_CLO,State_CON,State_FIN,State_INT,State_REQ,State_RST,->,>,  <->,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
14,0,0,2.907699,0,0.0,0.0,248,0,4,248,85.29080898676239,62.0,1.3756582094639094,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
17,0,0,9.013435000000001,0,0.0,0.0,372,0,6,372,41.27172382116253,62.0,0.6656729648574601,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
24,0,0,0.390881,0,0.0,0.0,1174,4351,20,5525,14134.736658983169,276.25,51.16646754383048,0.2698230291886923,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
28,0,0,2.96823,0,0.0,0.0,248,0,4,248,83.55147680604266,62.0,1.3476044646135912,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
31,0,0,2.966065,0,0.0,0.0,248,0,4,248,83.61246297704197,62.0,1.348588112532935,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
35,0,0,2.8538240000000004,0,0.0,0.0,248,0,4,248,86.9009441367092,62.0,1.4016281312372452,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
56,0,0,9.012236999999999,0,0.0,0.0,372,0,6,372,41.27721008668545,62.0,0.6657614530110559,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
63,0,0,2.9181,0,0.0,0.0,248,0,4,248,84.98680648367089,62.0,1.3707549432850143,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
78,0,0,2.914638,0,0.0,0.0,248,0,4,248,85.08775360782369,62.0,1.3723831227068335,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
92,0,0,2.999685,0,0.0,0.0,248,0,4,248,82.67534757816237,62.0,1.3334733480348768,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
96,0,0,2.994215,0,0.0,0.0,248,0,4,248,82.82638354293196,62.0,1.3359094119827737,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
98,0,0,2.984525,0,0.0,0.0,248,0,4,248,83.09529992209816,62.0,1.340246772937067,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
108,0,0,0.014796,0,0.0,0.0,3278,1532,33,4810,325087.86158421193,145.75757575757575,2230.3325223033253,2.1396866840731072,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
124,0,0,2.946941,0,0.0,0.0,248,0,4,248,84.15506112948988,62.0,1.3573396956369337,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
133,0,0,2.944475,0,0.0,0.0,248,0,4,248,84.22554105570602,62.0,1.3584764686404196,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
142,0,0,8.912449,0,0.0,0.0,372,0,6,372,41.73936927998129,62.0,0.6732156335480853,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
146,0,0,2.920451,0,0.0,0.0,248,0,4,248,84.91839102933075,62.0,1.369651468215012,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
161,0,0,2.960831,0,0.0,0.0,248,0,4,248,83.76026865430684,62.0,1.3509720750694652,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
176,0,0,2.920363,0,0.0,0.0,248,0,4,248,84.9209498956123,62.0,1.369692740251811,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
183,0,0,2.9567189999999997,0,0.0,0.0,248,0,4,248,83.87675663463453,62.0,1.3528509134618474,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
190,0,0,2.861577,0,0.0,0.0,248,0,4,248,86.66549947808498,62.0,1.3978306367433062,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
201,0,0,9.012692,0,0.0,0.0,372,0,6,372,41.2751262330944,62.0,0.6657278424692645,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
242,0,0,2.92588,0,0.0,0.0,248,0,4,248,84.7608240939478,62.0,1.3671100660314164,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
248,0,0,2.927612,0,0.0,0.0,248,0,4,248,84.71067887411309,62.0,1.3663012721631145,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
258,0,0,9.013307000000001,0,0.0,0.0,372,0,6,372,41.27230993019543,62.0,0.6656824182289587,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
277,0,0,3.004531,0,0.0,0.0,248,0,4,248,82.54200073156177,62.0,1.3313225924445449,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
282,0,0,2.984127,0,0.0,0.0,248,0,4,248,83.10638253666819,62.0,1.3404255247849706,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
283,0,0,3.003904,0,0.0,0.0,248,0,4,248,82.55922958922788,62.0,1.3316004772456111,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
290,0,0,2.949361,0,0.0,0.0,248,0,4,248,84.08601049515471,62.0,1.3562259757283015,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
303,0,0,2.928199,0,0.0,0.0,248,0,4,248,84.6936973887362,62.0,1.3660273772376808,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
308,0,0,9.012763,0,0.0,0.0,372,0,6,372,41.27480107931386,62.0,0.6657225980534494,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
332,0,0,3.0018029999999998,0,0.0,0.0,248,0,4,248,82.61701384134801,62.0,1.3325324813120647,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
340,0,0,8.913092,0,0.0,0.0,372,0,6,372,41.73635815719169,62.0,0.6731670670514789,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
361,0,0,2.963855,0,0.0,0.0,248,0,4,248,83.67480865291992,62.0,1.3495936879503214,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
368,0,0,2.960831,0,0.0,0.0,248,0,4,248,83.76026865430684,62.0,1.3509720750694652,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
