,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,State_ACC,State_CLO,State_CON,State_FIN,State_INT,State_REQ,State_RST,->,>,  <->,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
21,0,0,61.254181,0,0.0,0.0,874,639,16,1513,24.700354739866647,94.5625,0.2612066595094953,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
48,0,0,0.014816999999999999,0,0.0,0.0,3108,770,20,3878,261726.3953566849,193.9,1349.800904366606,4.036363636363636,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
53,0,0,70.012505,0,0.0,0.0,994,639,18,1633,23.3244046902764,90.72222222222223,0.2570969286129671,1.5555555555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
67,0,0,0.015253999999999997,0,0.0,0.0,3148,618,20,3766,246886.0626720861,188.3,1311.1315064901014,5.093851132686084,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
68,0,0,60.939102,0,0.0,0.0,874,639,16,1513,24.828065237981356,94.5625,0.262557200137278,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
108,0,0,61.489273,0,0.0,0.0,874,639,16,1513,24.60591784846765,94.5625,0.2602079878225264,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
149,0,0,0.015055,0,0.0,0.0,3112,660,20,3772,250547.99070076385,188.6,1328.4623048820988,4.715151515151514,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
170,0,0,60.951407999999994,0,0.0,0.0,874,639,16,1513,24.82305248797534,94.5625,0.2625041902231364,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
176,0,0,61.281166000000006,0,0.0,0.0,874,639,16,1513,24.689478003731193,94.5625,0.2610916378451415,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
178,0,0,61.256294,0,0.0,0.0,874,639,16,1513,24.699502715590334,94.5625,0.2611976493386949,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
214,0,0,64.163139,0,0.0,0.0,994,639,18,1633,25.450749845639567,90.72222222222223,0.2805349033812077,1.5555555555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
218,0,0,0.015037,0,0.0,0.0,3108,618,20,3726,247788.7876571125,186.3,1330.0525370752146,5.029126213592233,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
223,0,0,61.298935,0,0.0,0.0,874,639,16,1513,24.682321152887894,94.5625,0.2610159540292176,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
236,0,0,0.181288,0,0.0,0.0,3148,770,20,3918,21612.020652221883,195.9,110.3216980715767,4.088311688311689,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
237,0,0,61.295666000000004,0,0.0,0.0,874,639,16,1513,24.68363750220122,94.5625,0.2610298744449567,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
252,0,0,61.24641,0,0.0,0.0,874,639,16,1513,24.703488743258585,94.5625,0.2612398016471496,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
255,0,0,0.015169,0,0.0,0.0,3108,660,20,3768,248401.34484804532,188.4,1318.4784758388819,4.709090909090909,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
274,0,0,70.580963,0,0.0,0.0,994,639,18,1633,23.13655029047989,90.72222222222223,0.2550262738693435,1.5555555555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
278,0,0,61.299393,0,0.0,0.0,874,639,16,1513,24.682136738287117,94.5625,0.2610140038417673,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
283,0,0,0.000656,0,0.0,0.0,124,60,3,184,280487.8048780488,61.33333333333334,4573.170731707317,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
288,0,0,60.951653,0,0.0,0.0,874,639,16,1513,24.82295270974849,94.5625,0.2625031350667389,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
304,0,0,60.967381,0,0.0,0.0,874,639,16,1513,24.81654903299848,94.5625,0.2624354160792965,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
306,0,0,74.206383,0,0.0,0.0,1242,639,22,1881,25.348223750509444,85.5,0.2964704532223326,1.9436619718309858,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
334,0,0,61.352489,0,0.0,0.0,874,639,16,1513,24.66077619116643,94.5625,0.2607881157030157,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
342,0,0,0.015288999999999999,0,0.0,0.0,3148,618,20,3766,246320.88429589898,188.3,1308.1300281247954,5.093851132686084,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
371,0,0,61.279961,0,0.0,0.0,874,639,16,1513,24.689963493938908,94.5625,0.2610967719121101,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
376,0,0,67.051186,0,0.0,0.0,1118,639,20,1757,26.203861628935247,87.85,0.29827958598674154,1.749608763693271,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
396,0,0,61.298595,0,0.0,0.0,874,639,16,1513,24.68245805633881,94.5625,0.2610174017854732,1.3677621283255086,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
447,0,0,0.038528,0,0.0,0.0,3108,770,20,3878,100654.06976744186,193.9,519.1029900332227,4.036363636363636,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
