,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,State_ACC,State_CLO,State_CON,State_FIN,State_INT,State_REQ,State_RST,->,>,  <->,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
223,0,0,0.4085,0,0.0,0.0,930,470,15,1400,3427.172582619339,93.33333333333331,36.719706242350064,1.9787234042553192,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
520,0,0,2.922299,0,0.0,0.0,248,0,4,248,84.86469043722083,62.0,1.368785329632594,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
577,0,0,8.841888,0,0.0,0.0,2642,1806,27,4448,503.05997994998353,164.7407407407407,3.0536464610273284,1.4629014396456257,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
974,0,0,1.0085879999999998,0,0.0,0.0,372,180,9,552,547.2997894085594,61.33333333333334,8.923366131661295,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
1290,0,0,1.009514,0,0.0,0.0,372,180,9,552,546.7977660537645,61.33333333333334,8.915180968267899,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
1350,0,0,8.933755999999997,0,0.0,0.0,372,0,6,372,41.639820921905645,62.0,0.6716100148694459,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
1483,0,0,2.984171,0,0.0,0.0,248,0,4,248,83.10515717765503,62.0,1.34040576092992,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
1497,0,0,1.008885,0,0.0,0.0,372,180,9,552,547.1386728913602,61.33333333333334,8.920739231924351,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
1645,0,0,0.224552,0,0.0,0.0,2002,1031,15,3033,13506.893726174785,202.2,66.79967223627489,1.94180407371484,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
1859,0,0,1.3580290000000002,0,0.0,0.0,2452,1296,25,3748,2759.882152737533,149.92,18.409032502251424,1.8919753086419755,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1889,0,0,2.953114,0,0.0,0.0,248,0,4,248,83.97914879005688,62.0,1.3545023998396268,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
1993,0,0,1.56792,0,0.0,0.0,4802,21852,42,26654,16999.591815908974,634.6190476190476,26.787080973519053,0.21975105253523705,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2003,0,0,1.009098,0,0.0,0.0,372,180,9,552,547.0231830803351,61.33333333333334,8.918856245875029,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2083,0,0,1.008262,0,0.0,0.0,372,180,9,552,547.4767471153331,61.33333333333334,8.926251311663039,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2162,0,0,2.8214189999999997,0,0.0,0.0,9244,1636,43,10880,3856.215613490942,253.02325581395348,15.240558031260154,5.65036674816626,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
2223,0,0,1.0088489999999999,0,0.0,0.0,372,180,9,552,547.1581971137405,61.33333333333334,8.921057561637072,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2488,0,0,1.012994,0,0.0,0.0,372,180,9,552,544.9193183770092,61.33333333333334,8.884554103972976,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2515,0,0,2.963673,0,0.0,0.0,248,0,4,248,83.67994714666564,62.0,1.3496765668817041,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
2557,0,0,1.242843,0,0.0,0.0,372,180,9,552,444.1429850753474,61.33333333333334,7.241461713185012,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2619,0,0,2.933331,0,0.0,0.0,248,0,4,248,84.54552179757415,62.0,1.3636374483479703,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
2715,0,0,5.303843,0,0.0,0.0,5314,2044,54,7358,1387.2959663398785,136.2592592592593,10.181296844571003,2.5998043052837567,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2750,0,0,1.157729,0,0.0,0.0,372,180,9,552,476.79551950413264,61.33333333333334,7.773839991915207,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2751,0,0,1.008789,0,0.0,0.0,372,180,9,552,547.1907405810333,61.33333333333334,8.921588161647282,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
2945,0,0,1.00901,0,0.0,0.0,372,180,9,552,547.0708912696604,61.33333333333334,8.919634096787943,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
3069,0,0,2.964159,0,0.0,0.0,248,0,4,248,83.66622708161067,62.0,1.3494552755098497,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
3135,0,0,2.894693,0,0.0,0.0,2452,1249,25,3701,1278.546636897246,148.04,8.636494439997609,1.9631705364291436,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
3148,0,0,1.009033,0,0.0,0.0,372,180,9,552,547.0584212805727,61.33333333333334,8.919430781748465,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
3156,0,0,1.008968,0,0.0,0.0,372,180,9,552,547.0936640210591,61.33333333333334,8.920005391647704,2.066666666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
3166,0,0,1.02009,0,0.0,0.0,6394,13200,36,19594,19208.10908841377,544.2777777777778,35.29100373496456,0.4843939393939394,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
3300,0,0,9.012316,0,0.0,0.0,372,0,6,372,41.27684825964824,62.0,0.6657556170911006,88.58003629764065,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
