,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,2.404363,0.0,0.0,0.0,585.0,4390.0,20.0,4975.0,2069.155115097013,248.75,8.318211517977943,0.13325740318906606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,adversarial
1,1.0,0.0,3.000842,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.98821530757034,31.5,1.3329592161133441,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
2,1.0,0.0,3.000804,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.98874701579977,31.5,1.332976095739675,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
3,1.0,0.0,3.0006310000000003,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.99116785769393,31.5,1.3330529478632993,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
4,1.0,0.0,3.000577,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.9919235533699,31.5,1.3330769382022192,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
5,1.0,0.0,3.0003599999999997,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.99496060472744,31.5,1.3331733525310296,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
6,1.0,0.0,3.000248,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.996528286994945,31.5,1.3332231202220617,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
7,1.0,0.0,3.000085,0.0,0.0,0.0,124.0,2.0,4.0,126.0,41.99881003371571,31.5,1.3332955566258957,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
8,1.0,0.0,4.999968,0.0,0.0,0.0,124.0,2.0,2.0,126.0,25.200161281032198,63.0,0.4000025600163841,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
9,1.0,0.0,2.999804,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.00274417928638,31.5,1.3334204501360756,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
10,1.0,0.0,2.999694,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.00428443701258,31.5,1.3334693472067485,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
11,1.0,0.0,9.012997,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85876651240425,62.666666666666664,0.3328526571128338,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
12,1.0,0.0,9.013013,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858729483692077,62.666666666666664,0.3328520662291289,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
13,1.0,0.0,9.012971,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85882668434193,62.666666666666664,0.33285361730332874,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
14,1.0,0.0,9.013013,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858729483692077,62.666666666666664,0.3328520662291289,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
15,1.0,0.0,9.012979,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858808169862595,62.666666666666664,0.3328533218595095,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
16,1.0,0.0,9.012961,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858849827487326,62.666666666666664,0.3328539866088403,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
17,1.0,0.0,9.012915,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858956286617595,62.666666666666664,0.33285568542474886,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
18,1.0,0.0,9.012953999999999,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85886602771966,62.666666666666664,0.33285424512318607,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
19,1.0,0.0,9.012869,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.859062746834553,62.666666666666664,0.3328573842579982,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
20,1.0,0.0,9.012958,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85885677044096,62.666666666666664,0.33285409740065364,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
21,1.0,0.0,2.440475,0.0,0.0,0.0,587.0,4417.0,24.0,5004.0,2050.4205124002497,208.5,9.834151138610311,0.13289563051845144,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,adversarial
22,1.0,0.0,2.440009,0.0,0.0,0.0,587.0,4395.0,22.0,4982.0,2041.795747474702,226.45454545454547,9.016360185556692,0.13356086461888508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,adversarial
23,1.0,0.0,2.931012,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.98856504169891,31.5,1.364716350530124,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
24,1.0,0.0,2.9307830000000004,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.99192400119694,31.5,1.3648229841649824,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
25,1.0,0.0,2.9305220000000003,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.995752975067234,31.5,1.3649445388910233,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
26,1.0,0.0,2.9303060000000003,0.0,0.0,0.0,124.0,2.0,4.0,126.0,42.99892229685227,31.5,1.3650451522810245,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
27,1.0,0.0,2.930015,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.00319281641903,31.5,1.3651807243307628,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
28,1.0,0.0,2.929706,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.00772842053094,31.5,1.3653247117628868,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
29,1.0,0.0,2.929608,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.00916709675834,31.5,1.3653703840240743,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
30,1.0,0.0,2.929266,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.01418853733324,31.5,1.365529794835976,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
31,1.0,0.0,2.929025,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.017727742166755,31.5,1.3656421505449765,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
32,1.0,0.0,2.928766,0.0,0.0,0.0,124.0,2.0,4.0,126.0,43.021531935292884,31.5,1.3657629185807265,62.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
33,1.0,0.0,9.013152,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858407802287147,62.666666666666664,0.33284693301522045,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
34,1.0,0.0,9.013207000000001,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858280521017655,62.666666666666664,0.3328449019311328,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
35,1.0,0.0,9.013214,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858264321694794,62.666666666666664,0.3328446434312999,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
36,1.0,0.0,9.013196,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858305977147282,62.666666666666664,0.3328453081459673,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
37,1.0,0.0,9.013187,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858326804935924,62.666666666666664,0.33284564050429666,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
38,1.0,0.0,9.013192,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.8583152339371,62.666666666666664,0.3328454558606984,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
39,1.0,0.0,9.01318,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85834300435584,62.666666666666664,0.33284589900567835,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
40,1.0,0.0,9.013233999999999,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858218038053824,62.666666666666664,0.33284390486256105,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
41,1.0,0.0,9.013194,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858310605541163,62.666666666666664,0.3328453820033165,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
