,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,0.037986,0.0,0.0,0.0,635.0,253.0,7.0,888.0,23377.033643974097,126.85714285714286,184.27841836466067,2.5098814229249014,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,adversarial
1,1.0,0.0,8.978836,0.0,0.0,0.0,186.0,0.0,5.0,186.0,20.71538003367029,37.2,0.5568650546685562,1386.6945540647198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
2,1.0,0.0,9.001941,0.0,0.0,0.0,186.0,0.0,5.0,186.0,20.662210516598584,37.2,0.5554357665752309,1386.6945540647198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
3,1.0,0.0,5.7291120000000015,0.0,0.0,0.0,509.0,583.0,11.0,1092.0,190.6054550862332,99.27272727272727,1.920018320465719,0.8730703259005146,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
4,1.0,0.0,63.295837,0.0,0.0,0.0,512.0,1800.0,8.0,2312.0,36.52688880628911,289.0,0.12639061870688273,0.28444444444444444,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,adversarial
5,1.0,0.0,7.61517,0.0,0.0,0.0,474.0,386.0,10.0,860.0,112.93247557178631,86.0,1.3131683206021665,1.2279792746113989,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
6,1.0,0.0,1.305508,0.0,0.0,0.0,502.0,424.0,12.0,926.0,709.3024324630719,77.16666666666667,9.191824178787108,1.1839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
7,1.0,0.0,0.87624,0.0,0.0,0.0,581.0,4294.0,11.0,4875.0,5563.5442344563135,443.1818181818182,12.553638272619374,0.1353050768514206,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,41.0,adversarial
8,1.0,0.0,8.085019,0.0,0.0,0.0,529.0,386.0,10.0,915.0,113.17227578562276,91.5,1.2368554730669155,1.3704663212435233,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
9,1.0,0.0,1.311187,0.0,0.0,0.0,557.0,424.0,12.0,981.0,748.1770334818755,81.75,9.152012641980129,1.3136792452830188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
10,1.0,0.0,2.87422,0.0,0.0,0.0,572.0,4098.0,11.0,4670.0,1624.788638308828,424.54545454545456,3.8271252722477747,0.13958028306490972,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,adversarial
