,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,2.404363,0.0,0.0,0.0,585.0,4530.0,14.0,5115.0,2127.3825957228587,365.35714285714283,5.82274806258456,0.1291390728476821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,71.0,adversarial
1,1.0,0.0,3.000842,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.65469491562701,64.0,0.6664796080566721,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
2,1.0,0.0,3.000804,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.6552350636696,64.0,0.6664880478698375,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
3,1.0,0.0,3.0006310000000003,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.65769433162558,64.0,0.6665264739316497,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
4,1.0,0.0,3.000577,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.658462022471014,64.0,0.6665384691011096,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
5,1.0,0.0,3.0003599999999997,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.66154728099295,64.0,0.6665866762655148,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
6,1.0,0.0,5.000248,0.0,0.0,0.0,126.0,0.0,2.0,126.0,25.198750141992956,63.0,0.3999801609840152,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
7,1.0,0.0,3.000085,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.66545781202866,64.0,0.6666477783129479,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
8,1.0,0.0,2.999968,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.66712178263235,64.0,0.6666737778536305,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
9,1.0,0.0,2.999804,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.66945440435442,64.0,0.6667102250680378,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
10,1.0,0.0,2.999694,0.0,0.0,0.0,128.0,0.0,2.0,128.0,42.67101911061595,64.0,0.6667346736033742,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,adversarial
11,1.0,0.0,9.012997,0.0,0.0,0.0,188.0,0.0,3.0,188.0,20.85876651240425,62.666666666666664,0.3328526571128338,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
12,1.0,0.0,9.013013,0.0,0.0,0.0,188.0,0.0,3.0,188.0,20.858729483692077,62.666666666666664,0.3328520662291289,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
13,1.0,0.0,9.012971,0.0,0.0,0.0,188.0,0.0,3.0,188.0,20.85882668434193,62.666666666666664,0.33285361730332874,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
