,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,0.037986,0.0,0.0,0.0,631.0,253.0,7.0,884.0,23271.731690622863,126.28571428571429,184.27841836466067,2.494071146245059,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
1,1.0,0.0,8.978836,0.0,0.0,0.0,186.0,0.0,5.0,186.0,20.71538003367029,37.2,0.5568650546685562,1386.6945540647198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
2,1.0,0.0,9.001941,0.0,0.0,0.0,186.0,0.0,5.0,186.0,20.662210516598584,37.2,0.5554357665752309,1386.6945540647198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
3,1.0,0.0,5.7291120000000015,0.0,0.0,0.0,509.0,583.0,11.0,1092.0,190.6054550862332,99.27272727272727,1.920018320465719,0.8730703259005146,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
4,1.0,0.0,61.295837,0.0,0.0,0.0,484.0,1798.0,8.0,2282.0,37.229281982070006,285.25,0.13051457311856268,0.26918798665183535,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
5,1.0,0.0,7.61517,0.0,0.0,0.0,474.0,386.0,10.0,860.0,112.93247557178631,86.0,1.3131683206021665,1.2279792746113989,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
6,1.0,0.0,1.305508,0.0,0.0,0.0,502.0,424.0,12.0,926.0,709.3024324630719,77.16666666666667,9.191824178787108,1.1839622641509433,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
7,1.0,0.0,0.87624,0.0,0.0,0.0,501.0,4294.0,11.0,4795.0,5472.2450470190815,435.90909090909093,12.553638272619374,0.11667442943642292,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
8,1.0,0.0,8.085019,0.0,0.0,0.0,529.0,386.0,10.0,915.0,113.17227578562276,91.5,1.2368554730669155,1.3704663212435233,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
9,1.0,0.0,1.311187,0.0,0.0,0.0,557.0,424.0,12.0,981.0,748.1770334818755,81.75,9.152012641980129,1.3136792452830188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
10,1.0,0.0,0.8742200000000001,0.0,0.0,0.0,558.0,4098.0,11.0,4656.0,5325.890508110086,423.27272727272725,12.582645100775547,0.13616398243045388,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
11,1.0,0.0,63.944084,0.0,0.0,0.0,945.0,4508.0,21.0,5453.0,85.27763100023452,259.6666666666667,0.3284119293975655,0.2096273291925466,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
12,1.0,0.0,62.298007999999996,0.0,0.0,0.0,674.0,7841.0,16.0,8515.0,136.6817378815708,532.1875,0.2568300418209199,0.0859584236704502,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
13,1.0,0.0,3.374628,0.0,0.0,0.0,478.0,465.0,10.0,943.0,279.4382077076347,94.3,2.963289583325925,1.027956989247312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
14,1.0,0.0,8.074477,0.0,0.0,0.0,529.0,386.0,10.0,915.0,113.32003298789508,91.5,1.2384703058786346,1.3704663212435233,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
15,1.0,0.0,1.190212,0.0,0.0,0.0,557.0,424.0,12.0,981.0,824.2229115485308,81.75,10.082237450134933,1.3136792452830188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
16,1.0,0.0,0.806525,0.0,0.0,0.0,558.0,4098.0,11.0,4656.0,5772.914664765506,423.27272727272725,13.638758872942562,0.13616398243045388,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
17,1.0,0.0,2.935939,0.0,0.0,0.0,124.0,60.0,3.0,184.0,62.67160182823962,61.333333333333336,1.0218195950256461,2.066666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
