,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,0.40436300000000003,0.0,0.0,0.0,585.0,4392.0,14.0,4977.0,12308.247787260456,355.5,34.622356644895795,0.13319672131147542,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
1,1.0,0.0,3.000842,0.0,0.0,0.0,152.0,2.0,2.0,154.0,51.31892982036375,77.0,0.6664796080566721,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,adversarial
2,1.0,0.0,5.0008040000000005,0.0,0.0,0.0,144.0,2.0,2.0,146.0,29.195305394892497,73.0,0.39993569034099313,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,adversarial
3,1.0,0.0,3.0006310000000003,0.0,0.0,0.0,156.0,0.0,2.0,156.0,51.98906496666867,78.0,0.6665264739316497,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,adversarial
4,1.0,0.0,3.000577,0.0,0.0,0.0,152.0,2.0,2.0,154.0,51.323462120785436,77.0,0.6665384691011096,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,15.0,adversarial
5,1.0,0.0,3.0003599999999997,0.0,0.0,0.0,156.0,0.0,2.0,156.0,51.99376074871016,78.0,0.6665866762655148,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,adversarial
6,1.0,0.0,5.000248,0.0,0.0,0.0,164.0,0.0,2.0,164.0,32.79837320068925,82.0,0.3999801609840152,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,adversarial
7,1.0,0.0,3.000085,0.0,0.0,0.0,146.0,2.0,2.0,148.0,49.331935595158136,74.0,0.6666477783129479,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,adversarial
8,1.0,0.0,2.999968,0.0,0.0,0.0,156.0,0.0,2.0,156.0,52.00055467258318,78.0,0.6666737778536305,1228.6491319186825,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,16.0,adversarial
9,1.0,0.0,2.999804,0.0,0.0,0.0,140.0,2.0,2.0,142.0,47.33642597983068,71.0,0.6667102250680378,70.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,adversarial
