,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,n_actions,Label
0,1.0,0.0,0.037394,0.0,0.0,0.0,629.0,255.0,7.0,884.0,23640.1561747874,126.28571428571429,187.1958068139274,2.466666666666667,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
1,1.0,0.0,0.22040700000000002,0.0,0.0,0.0,1106.0,26946.0,38.0,28052.0,127273.63468492379,738.2105263157895,172.40831734019335,0.04104505306910117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
2,1.0,0.0,0.407952,0.0,0.0,0.0,464.0,472.0,10.0,936.0,2294.3875750088246,93.6,24.512687767188297,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
3,1.0,0.0,0.408001,0.0,0.0,0.0,464.0,472.0,10.0,936.0,2294.112024235235,93.6,24.50974384866704,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
4,1.0,0.0,0.408103,0.0,0.0,0.0,462.0,472.0,10.0,934.0,2288.6379173885025,93.4,24.503617959191676,0.9788135593220338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
5,1.0,0.0,0.407276,0.0,0.0,0.0,464.0,472.0,10.0,936.0,2298.195818069319,93.6,24.55337412467221,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
6,1.0,0.0,0.41047799999999995,0.0,0.0,0.0,465.0,472.0,10.0,937.0,2282.7045542026617,93.7,24.361841560327232,0.9851694915254238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
7,1.0,0.0,0.408453,0.0,0.0,0.0,465.0,472.0,10.0,937.0,2294.021588775208,93.7,24.482621011475004,0.9851694915254238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
8,1.0,0.0,0.411145,0.0,0.0,0.0,464.0,472.0,10.0,936.0,2276.5690936287683,93.6,24.32231937637573,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
9,1.0,0.0,0.412945,0.0,0.0,0.0,466.0,472.0,10.0,938.0,2271.488939204979,93.8,24.216299991524295,0.9872881355932204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
10,1.0,0.0,0.427687,0.0,0.0,0.0,465.0,472.0,10.0,937.0,2190.8545267917893,93.7,23.381585131182383,0.9851694915254238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
11,1.0,0.0,3.4187790000000002,0.0,0.0,0.0,522.0,472.0,11.0,994.0,290.74707666099505,90.36363636363636,3.2175229811578925,1.1059322033898304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
12,1.0,0.0,0.409285,0.0,0.0,0.0,462.0,472.0,10.0,934.0,2282.0284154073565,93.4,24.432852413354997,0.9788135593220338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
13,1.0,0.0,0.406208,0.0,0.0,0.0,462.0,472.0,10.0,934.0,2299.3146368363005,93.4,24.617929730581377,0.9788135593220338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
14,1.0,0.0,10.957139999999997,0.0,0.0,0.0,186.0,0.0,3.0,186.0,16.975232588065868,62.0,0.27379407400106237,4390.805939580133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
15,1.0,0.0,0.409489,0.0,0.0,0.0,491.0,472.0,10.0,963.0,2351.7115233864647,96.3,24.420680408997555,1.0402542372881356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
16,1.0,0.0,1.8195569999999999,0.0,0.0,0.0,1401.0,39405.0,53.0,40806.0,22426.337839375192,769.9245283018868,29.127969060601018,0.035553863722877804,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
17,1.0,0.0,0.847462,0.0,0.0,0.0,836.0,8980.0,19.0,9816.0,11582.820232647598,516.6315789473684,22.419884313396942,0.0930957683741648,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
18,1.0,0.0,2.4308400000000003,0.0,0.0,0.0,1500.0,30201.0,53.0,31701.0,13041.170953250727,598.1320754716982,21.80316269273173,0.04966722956193503,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
19,1.0,0.0,0.329515,0.0,0.0,0.0,763.0,545.0,10.0,1308.0,3969.4702820812404,130.8,30.34763212600337,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
20,1.0,0.0,0.32847800000000005,0.0,0.0,0.0,770.0,545.0,10.0,1315.0,4003.3122461778257,131.5,30.443439134432133,1.4128440366972477,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
21,1.0,0.0,8.952378,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.0000069255342,62.666666666666664,0.33510649349256705,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
22,1.0,0.0,8.949574,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.006586458752114,62.666666666666664,0.3352114860439167,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
23,1.0,0.0,8.948977000000003,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.00798784039784,62.666666666666664,0.3352338485169868,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
24,1.0,0.0,8.948443,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.00924149597869,62.666666666666664,0.3352538536592344,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
25,1.0,0.0,8.947924,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.01046007990233,62.666666666666664,0.33527329914737763,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
26,1.0,0.0,8.947463,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.011542601517323,62.666666666666664,0.3352905734284679,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
27,1.0,0.0,8.944137,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.019356031778138,62.666666666666664,0.33541525582624687,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
28,1.0,0.0,8.934515,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.041992766255362,62.666666666666664,0.33577648031258556,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
29,1.0,0.0,8.933755999999997,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.043780465909308,62.666666666666664,0.33580500743472297,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
30,1.0,0.0,8.932939999999997,0.0,0.0,0.0,186.0,2.0,3.0,188.0,21.045702758554302,62.666666666666664,0.3358356823173559,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
31,1.0,0.0,9.012528999999999,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.859849660400542,62.666666666666664,0.3328699413893703,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
32,1.0,0.0,0.32646,0.0,0.0,0.0,763.0,545.0,10.0,1308.0,4006.6164308031616,130.8,30.631624088709184,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
33,1.0,0.0,9.012414999999999,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.860113521181617,62.666666666666664,0.3328741519337492,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
34,1.0,0.0,9.012416,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.86011120658434,62.666666666666664,0.33287411499868624,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
35,1.0,0.0,9.012411,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.860122779575853,62.666666666666664,0.3328742996740828,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
36,1.0,0.0,9.012408,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.860129723376925,62.666666666666664,0.332874410479419,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
37,1.0,0.0,9.012464999999999,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.859997791947045,62.666666666666664,0.3328723051906443,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
38,1.0,0.0,9.012423,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.86009500441779,62.666666666666664,0.3328738564534754,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
39,1.0,0.0,9.012372000000001,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.86021304935038,62.666666666666664,0.3328757401492082,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
40,1.0,0.0,9.01242,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.86010194820037,62.666666666666664,0.33287396725851653,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
41,1.0,0.0,9.007530000000001,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.87142646208228,62.666666666666664,0.3330546775864193,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
42,1.0,0.0,3.3854559999999996,0.0,0.0,0.0,736.0,464.0,11.0,1200.0,354.45742021163477,109.0909090909091,3.2491930186066518,1.5862068965517242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
43,1.0,0.0,0.32745599999999997,0.0,0.0,0.0,767.0,545.0,10.0,1312.0,4006.645167595036,131.2,30.53845402130363,1.4073394495412843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,adversarial
44,1.0,0.0,11.013103,0.0,0.0,0.0,186.0,0.0,3.0,186.0,16.888973071440446,62.0,0.2724027914748459,4390.805939580133,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
45,1.0,0.0,9.01309,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858551284853473,62.666666666666664,0.33284922263064054,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
46,1.0,0.0,9.013043,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.8586600552111,62.666666666666664,0.3328509583278367,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
47,1.0,0.0,9.013061,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85861839834436,62.666666666666664,0.3328502935906014,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
48,1.0,0.0,9.013060000000001,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.858620712610364,62.666666666666664,0.33285033052037816,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
49,1.0,0.0,9.013007,0.0,0.0,0.0,186.0,2.0,3.0,188.0,20.85874336944374,62.666666666666664,0.33285228781027243,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,adversarial
