,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
39196,1,0,0.404363,0,0.0,0.0,585,4390,14,4975,12303.301736311185,355.3571428571428,34.622356644895795,0.13325740318906604,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
39212,1,0,3.000842,0,0.0,0.0,124,0,2,124,41.321735699513674,62.0,0.6664796080566721,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39213,1,0,3.000804,0,0.0,0.0,124,0,2,124,41.32225896792993,62.0,0.6664880478698375,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39214,1,0,3.0006310000000003,0,0.0,0.0,124,0,2,124,41.324641383762284,62.0,0.6665264739316497,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39215,1,0,3.000577,0,0.0,0.0,124,0,2,124,41.325385084268795,62.0,0.6665384691011096,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39216,1,0,3.00036,0,0.0,0.0,124,0,2,124,41.32837392846192,62.0,0.6665866762655148,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39217,1,0,3.000248,0,0.0,0.0,124,0,2,124,41.32991672688391,62.0,0.6666115601110308,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39218,1,0,3.000085,0,0.0,0.0,124,0,2,124,41.33216225540278,62.0,0.6666477783129479,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39219,1,0,2.999968,0,0.0,0.0,124,0,2,124,41.333774226925094,62.0,0.6666737778536305,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39220,1,0,2.999804,0,0.0,0.0,124,0,2,124,41.33603395421834,62.0,0.6667102250680378,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
39221,1,0,2.999694,0,0.0,0.0,124,0,2,124,41.33754976340921,62.0,0.6667346736033742,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40929,1,0,9.012997,0,0.0,0.0,186,0,3,186,20.636864740995694,62.0,0.3328526571128338,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40930,1,0,9.013013,0,0.0,0.0,186,0,3,186,20.636828106205996,62.0,0.3328520662291289,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40931,1,0,9.012971,0,0.0,0.0,186,0,3,186,20.63692427280638,62.0,0.33285361730332874,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40932,1,0,9.013013,0,0.0,0.0,186,0,3,186,20.636828106205996,62.0,0.3328520662291289,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40933,1,0,9.012979,0,0.0,0.0,186,0,3,186,20.636905955289592,62.0,0.3328533218595095,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40934,1,0,9.012961,0,0.0,0.0,186,0,3,186,20.636947169748094,62.0,0.3328539866088403,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40935,1,0,9.012915,0,0.0,0.0,186,0,3,186,20.637052496334427,62.0,0.3328556854247489,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
40936,1,0,9.012954,0,0.0,0.0,186,0,3,186,20.636963197637535,62.0,0.3328542451231861,1228.6491319186825,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
