,IPSrcType,IPDstType,Dur,Proto,sTos,dTos,OutBytes,InBytes,TotPkts,TotBytes,BytesPerSec,BytesPerPkt,PktsPerSec,RatioOutIn,SrcState_F,DstState_F,SrcState_S,DstState_S,SrcState_P,DstState_P,SrcState_A,DstState_A,SrcState_R,DstState_R,SrcState_C,DstState_C,SrcState_E,DstState_E,->,>,<-,<->,SrcPort_Private,SrcPort_Registered,SrcPort_Well_Known,DstPort_Private,DstPort_Registered,DstPort_Well_Known,Label
8612,1,0,0.037986,0,0.0,0.0,629,253,7,882,23219.080713947245,126.0,184.2784183646607,2.486166007905138,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
15831,1,0,8.978836,0,0.0,0.0,186,0,3,186,20.71538003367029,62.0,0.3341190328011337,1386.6945540647198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
16965,1,0,9.001941,0,0.0,0.0,186,0,3,186,20.662210516598588,62.0,0.3332614599451385,1386.6945540647198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
33683,1,0,5.7291120000000015,0,0.0,0.0,509,583,9,1092,190.60545508623326,121.33333333333331,1.5709240803810431,0.8730703259005146,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
35814,1,0,61.295837,0,0.0,0.0,482,1798,8,2280,37.19665333879036,285.0,0.13051457311856268,0.26807563959955505,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
55266,1,0,7.61517,0,0.0,0.0,474,386,8,860,112.93247557178631,107.5,1.0505346564817333,1.2279792746113989,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
55443,1,0,1.305508,0,0.0,0.0,502,424,10,926,709.3024324630719,92.6,7.659853482322591,1.1839622641509433,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
55517,1,0,0.87624,0,0.0,0.0,501,4292,11,4793,5469.96256733315,435.7272727272728,12.553638272619375,0.11672879776328053,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
56460,1,0,8.085019,0,0.0,0.0,529,386,8,915,113.17227578562277,114.375,0.9894843784535324,1.3704663212435233,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
56559,1,0,1.311187,0,0.0,0.0,557,424,10,981,748.1770334818755,98.1,7.626677201650107,1.3136792452830188,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
56685,1,0,0.8742200000000001,0,0.0,0.0,556,4098,11,4654,5323.6027544554,423.09090909090907,12.582645100775547,0.13567593948267448,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
57854,1,0,63.944084,0,0.0,0.0,945,4508,19,5453,85.27763100023452,287.0,0.2971346027882736,0.2096273291925466,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
57929,1,0,62.298008,0,0.0,0.0,672,7841,16,8513,136.64963412634322,532.0625,0.2568300418209199,0.08570335416400969,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
58208,1,0,1.374628,0,0.0,0.0,478,465,10,943,686.0037770218562,94.3,7.274695408503247,1.027956989247312,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
59051,1,0,8.074477,0,0.0,0.0,529,386,8,915,113.32003298789508,114.375,0.9907762447029076,1.3704663212435233,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
59211,1,0,1.190212,0,0.0,0.0,557,424,10,981,824.2229115485308,98.1,8.401864541779112,1.3136792452830188,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
